,model,Psi,ECS
0,ACCESS-CM2,0.2,4.72
1,ACCESS-ESM1-5,0.13,3.87
2,BCC-CSM2-MR,0.16,3.04
3,BCC-ESM1,0.19,3.26
4,CAMS-CSM1-0,0.14,2.29
5,CAS-ESM2-0,0.16,3.51
6,CESM2,0.15,5.16
7,CESM2-FV2,0.13,5.14
8,CESM2-WACCM,0.18,4.75
9,CESM2-WACCM-FV2,0.16,4.79
10,CMCC-CM2-SR5,0.18,3.52
11,CNRM-CM6-1,0.11,4.83
12,CNRM-CM6-1-HR,0.11,4.28
13,CNRM-ESM2-1,0.08,4.76
14,CanESM5,0.18,5.62
15,E3SM-1-0,0.22,5.32
16,EC-Earth3-Veg,0.19,4.31
17,FGOALS-f3-L,0.09,3.0
18,FGOALS-g3,0.13,2.88
19,GISS-E2-1-G,0.17,2.72
20,GISS-E2-1-H,0.13,3.11
21,HadGEM3-GC31-LL,0.2,5.55
22,HadGEM3-GC31-MM,0.18,5.42
23,INM-CM4-8,0.13,1.83
24,INM-CM5-0,0.14,1.92
25,IPSL-CM6A-LR,0.14,4.56
26,KACE-1-0-G,0.15,4.48
27,MCM-UA-1-0,0.2,3.65
28,MIROC-ES2L,0.15,2.68
29,MIROC6,0.17,2.61
30,MPI-ESM1-2-HAM,0.14,2.96
31,MPI-ESM1-2-HR,0.15,2.98
32,MPI-ESM1-2-LR,0.18,3.0
33,MRI-ESM2-0,0.15,3.15
34,NESM3,0.24,4.72
35,NorCPM1,0.12,3.05
36,NorESM2-LM,0.2,2.54
37,NorESM2-MM,0.31,2.5
38,SAM0-UNICON,0.19,3.72
39,TaiESM1,0.15,4.31
40,UKESM1-0-LL,0.21,5.34
